btree,gridDimensions,gridObstacles,maxSimSteps,treeComplexityPenalty,backtrackingPenalty,collisionPenalty,idlePenalty,phototaxisReward,fitness
Handcrafted2,9,9,50,0.0,-3.9,-7.2,-8.8,91.7,72.0
Random,9,9,50,0.0,-27.5,0.0,-106.4,23.0,-110.9
Exp1,9,9,50,0.0,-9.0,-9.1,-14.8,39.6,6.8
Exp2,9,9,50,0.0,-2.8,0.0,-2.8,70.9,65.4
Exp3,9,9,50,0.0,-9.8,-12.3,-19.6,35.5,-6.3
Handcrafted1,9,9,60,0.0,-6.0,0.0,-8.2,85.5,71.4
Handcrafted2,9,9,60,0.0,-3.3,-8.1,-5.4,100.0,83.3
Random,9,9,60,0.0,-27.9,0.0,-108.0,4.2,-131.7
Exp1,9,9,60,0.0,-5.4,-8.4,-14.1,85.5,57.7
Exp2,9,9,60,0.0,-6.9,0.0,-10.2,56.3,39.3
Exp3,9,9,60,0.0,-9.1,-14.0,-22.0,66.7,21.8
Handcrafted1,9,9,80,0.0,-6.3,0.0,-10.2,68.8,52.4
Handcrafted2,9,9,80,0.0,0.0,-13.7,-3.1,100.0,83.3
Random,9,9,80,0.0,-29.2,0.0,-116.5,2.1,-143.6
Exp1,9,9,80,0.0,-8.1,-9.6,-16.0,100.0,66.6
Exp2,9,9,80,0.0,-15.3,0.0,-30.5,58.4,12.7
Exp3,9,9,80,0.0,-5.9,-6.8,-11.4,100.0,76.1
Handcrafted1,9,9,100,0.0,-10.8,0.0,-14.4,66.7,41.6
Handcrafted2,9,9,100,0.0,-2.9,-11.1,-5.3,100.0,80.8
Random,9,9,100,0.0,-29.7,0.0,-118.8,6.3,-142.3
Exp1,9,9,100,0.0,-11.1,-9.7,-15.2,60.5,24.6
Exp2,9,9,100,0.0,-10.6,0.0,-10.6,56.3,35.2
Exp3,9,9,100,0.0,-10.6,-8.6,-13.6,75.0,42.4
